type,pre_total,amount
Total support,9898258930,9898260000
Total support - NYC,4298499240,4298500000
Food service - NYC,344010773,344020000
Food Service Contractors,9058973.91,9060000
Caterers,9861681.61,9860000
Mobile Food Services,1918905.27,1920000
Drinking Places (Alcoholic Beverages) ,25545616.99,25550000
Full-Service Restaurants ,197856781.9,197860000
Limited-Service Restaurants ,84795767.82,84800000
"Cafeterias, Grill Buffets, and Buffets ",2869120.36,2870000
Snack and Nonalcoholic Beverage Bars ,12103926.43,12100000